date,hour,day_of_week,pickup_community_area,demand,temperature,zone_name,is_holiday
2023-03-26,3,1,59,0,3.9,MCKINLEY PARK,1
2023-03-26,3,1,8,0,3.9,NEAR NORTH SIDE,1
2023-03-26,3,1,23,0,3.9,HUMBOLDT PARK,1
2023-03-26,3,1,39,0,3.9,KENWOOD,1
2023-03-26,3,1,49,0,3.9,ROSELAND,1
2023-03-26,3,1,7,0,3.9,LINCOLN PARK,1
2023-03-26,3,1,51,0,3.9,SOUTH DEERING,1
2023-03-26,3,1,69,0,3.9,GREATER GRAND CROSSING,1
2023-03-26,3,1,63,0,3.9,GAGE PARK,1
2023-03-26,3,1,77,0,3.9,EDGEWATER,1
2023-03-26,3,1,10,0,3.9,NORWOOD PARK,1
2023-03-26,3,1,50,0,3.9,PULLMAN,1
2023-03-26,3,1,45,0,3.9,AVALON PARK,1
2023-03-26,3,1,38,0,3.9,GRAND BOULEVARD,1
2023-03-26,3,1,25,0,3.9,AUSTIN,1
2023-03-26,3,1,73,0,3.9,WASHINGTON HEIGHTS,1
2023-03-26,3,1,24,0,3.9,WEST TOWN,1
2023-03-26,3,1,70,0,3.9,ASHBURN,1
2023-03-26,3,1,62,0,3.9,WEST ELSDON,1
2023-03-26,3,1,29,0,3.9,NORTH LAWNDALE,1
2023-03-26,3,1,21,0,3.9,AVONDALE,1
2023-03-26,3,1,32,0,3.9,LOOP,1
2023-03-26,3,1,60,0,3.9,BRIDGEPORT,1
2023-03-26,3,1,75,0,3.9,MORGAN PARK,1
2023-03-26,3,1,56,0,3.9,GARFIELD RIDGE,1
2023-03-26,3,1,58,0,3.9,BRIGHTON PARK,1
2023-03-26,3,1,33,0,3.9,NEAR SOUTH SIDE,1
2023-03-26,3,1,11,0,3.9,JEFFERSON PARK,1
2023-03-26,3,1,68,0,3.9,ENGLEWOOD,1
2023-03-26,3,1,71,0,3.9,AUBURN GRESHAM,1
2023-03-26,3,1,14,0,3.9,ALBANY PARK,1
2023-03-26,3,1,42,0,3.9,WOODLAWN,1
2023-03-26,3,1,2,0,3.9,WEST RIDGE,1
2023-03-26,3,1,30,0,3.9,SOUTH LAWNDALE,1
2023-03-26,3,1,66,0,3.9,CHICAGO LAWN,1
2023-03-26,3,1,46,0,3.9,SOUTH CHICAGO,1
2023-03-26,3,1,67,0,3.9,WEST ENGLEWOOD,1
2023-03-26,3,1,18,0,3.9,MONTCLARE,1
2023-03-26,3,1,74,0,3.9,MOUNT GREENWOOD,1
2023-03-26,3,1,36,0,3.9,OAKLAND,1
2023-03-26,4,1,31,0,3.3,LOWER WEST SIDE,1
2023-03-26,4,1,65,0,3.3,WEST LAWN,1
2023-03-26,4,1,53,0,3.3,WEST PULLMAN,1
2023-03-26,4,1,34,0,3.3,ARMOUR SQUARE,1
2023-03-26,4,1,28,0,3.3,NEAR WEST SIDE,1
2023-03-26,4,1,76,0,3.3,OHARE,1
